"Annual Imports: UK trade in goods annual imports from all countries, current prices, seasonally adjusted",,
Country Name,2015,2023
Austria,1569,1738
Belgium,11719,17473
Bulgaria,347,388
Croatia,147,183
Cyprus,369,456
Czechia,2006,2348
Denmark,2294,2774
Estonia,221,329
Finland,1318,1423
France,17626,24500
Germany,30541,33920
Greece,972,1270
Hungary,1321,1471
Ireland,16359,28182
Italy,8412,10451
Latvia,219,371
Lithuania,307,752
Luxembourg,218,570
Malta,333,393
Netherlands,17226,30460
Poland,3738,7127
Portugal,1271,1388
Romania,1059,1206
Slovakia,442,964
Slovenia,204,259
Spain,8819,10053
Sweden,4323,4874
Afghanistan,18,1
Albania,17,46
Algeria,338,241
American Samoa,0,0
Andorra,12,10
Angola,481,316
Anguilla,0,0
Antarctica,0,12
Antigua and Barbuda,26,25
Argentina,300,422
Armenia,15,44
Aruba,19,8
Australia,3803,5418
Azerbaijan,676,516
The Bahamas,30,25
Bahrain,289,339
Bangladesh,144,467
Barbados,36,107
Belarus,64,15
Belize,6,9
Benin,64,47
Bermuda,25,67
Bhutan,0,0
Bolivia,24,19
"Bonaire, Sint Eustatius & Saba",5,0
Bosnia and Herzegovina,24,31
Botswana,20,10
Bouvet Island,0,4
Brazil,2218,2742
British Indian Ocean Territory,0,0
British Virgin Islands,42,14
Brunei,76,71
Burkina Faso,11,12
Burundi,1,2
Cambodia,17,65
Cameroon,43,50
Canada,3963,7122
Cape Verde,2,1
Cayman Islands,19,36
Central African Republic,1,1
Chad,0,20
Chile,463,501
China,12376,20900
Christmas Island,0,0
Cocos Islands,0,0
Colombia,370,543
Comoros,0,0
Congo (Democratic Republic),27,38
Congo,154,49
Cook Islands,0,0
Costa Rica,78,130
Cuba,27,7
Curacao,22,8
Djibouti,12,29
Dominica,6,7
Dominican Republic,136,161
East Timor,0,0
Ecuador,73,102
Egypt,1008,1687
El Salvador,18,28
Equatorial Guinea,34,44
Eritrea,0,3
Eswatini,0,1
Ethiopia,168,164
Falkland Islands,135,106
Faroe Islands,12,24
Fiji,8,4
French Polynesia,7,3
French Southern Territories,0,0
Gabon,36,42
The Gambia,20,32
Georgia,64,160
Ghana,325,377
Gibraltar,467,307
Greenland,0,3
Grenada,8,11
Guam,2,3
Guatemala,34,45
Guernsey,421,138
Guinea,21,28
Guinea Bissau,0,0
Guyana,23,149
Haiti,6,4
Heard and McDonald Islands,0,0
Honduras,13,13
Hong Kong,5506,9853
Iceland,240,571
India,3933,6090
Indonesia,467,928
Iran,92,67
Iraq,290,511
Isle of Man,0,3
Israel,1010,1618
Ivory Coast,129,193
Jamaica,48,72
Japan,4367,6337
Jersey,182,154
Jordan,267,427
Kazakhstan,342,340
Kenya,369,259
Kiribati,0,0
Kosovo,1,12
Kuwait,573,835
Kyrgyzstan,4,50
Laos,6,3
Lebanon,397,260
Lesotho,0,1
Liberia,12,41
Libya,101,192
Liechtenstein,10,3
Macao,46,239
Madagascar,11,14
Malawi,12,16
Malaysia,1365,1807
Maldives,18,31
Mali,34,18
Marshall Islands,3,6
Mauritania,20,39
Mauritius,57,82
Mexico,1304,1733
Micronesia,0,0
Moldova,38,38
Mongolia,10,25
Montenegro,7,12
Montserrat,0,0
Morocco incl. Western Sahara,492,966
Mozambique,32,28
Myanmar (Burma),17,18
Namibia,39,81
Nauru,0,0
Nepal,11,12
New Caledonia,19,18
New Zealand,571,1126
Nicaragua,9,2
Niger,7,17
Nigeria,1073,1462
Niue Island,0,0
Norfolk Island,0,0
North Korea,0,0
North Macedonia,543,1296
Northern Mariana Islands,0,0
Norway,3241,3775
Occupied Palestinian Territory,5,5
Oman,457,542
Pakistan,525,490
Palau,0,0
Panama,177,193
Papua New Guinea,16,9
Paraguay,27,32
Peru,187,226
Philippines,393,672
Pitcairn,0,0
Qatar,1905,3864
Russia,2546,857
Rwanda,8,14
Samoa,0,0
San Marino,3,0
Sao Tome and Principe,0,0
Saudi Arabia,4633,4836
Senegal,97,206
Serbia,154,247
Seychelles,17,25
Sierra Leone,33,34
Singapore,3975,6285
Sint Maarten,4,7
Solomon Islands,0,0
Somalia,6,15
South Africa,2268,1893
South Georgia,0,0
South Korea,4900,5781
South Sudan,2,7
Sri Lanka,258,144
St Kitts and Nevis,8,4
St Lucia,14,30
St Vincent,11,24
St. Helena,23,20
Sudan,92,25
Suriname,11,12
Switzerland,8193,12910
Syria,5,1
Taiwan,1209,1896
Tajikistan,0,2
Tanzania,124,147
Thailand,1258,1669
Togo,35,143
Tokelau Islands,0,0
Tonga,1,1
Trinidad and Tobago,144,116
Tunisia,142,164
Turkey,3640,7159
Turkmenistan,29,24
Turks and Caicos Islands,0,5
Tuvalu,0,0
Uganda,49,55
Ukraine,634,640
United Arab Emirates,6128,7363
United States,45434,61482
Uruguay,246,143
US Minor Outlying Islands,0,1
US Virgin Islands,1,3
Uzbekistan,19,88
Vanuatu,0,1
Vatican City,0,0
Venezuela,219,19
Vietnam,391,781
Wallis and Futuna,0,0
Yemen,30,30
Zambia,68,66
Zimbabwe,42,53
